driver_id,first_name,last_name,contact_number,license_number
0023a99c-3ecc-48ab-b00c-53423c611a09,Tracey,Evans,+1-602-667-9594,464032
5912763d-d482-4312-87ce-d3d3cf68f38d,Brian,Decker,001-766-232-4155x1403,262401
f5bcec54-e0d1-400c-9e85-badd5cf35c8a,Steven,Glenn,8082250743,624340
e52885dd-2521-4615-905c-16f50954f95e,Alejandro,Wells,+1-609-335-1878x7575,494796
1083dc2e-1010-4d9c-b61c-6c558b66481b,Tina,Landry,849-619-5262x307,249991
342153f9-1fe5-4d80-be37-1838ce610b20,Deanna,Clark,217.465.6883,712428
5b22b3c5-8b45-4324-884f-1e09ac239556,William,Fuller,001-483-380-5757x931,859611
d01d8981-1bf4-41ce-b6c4-c1e78a33873d,Cameron,Hardy,+1-300-759-4828x58399,805226
100fa701-91e5-4398-99eb-9ad055d95de5,Katherine,Edwards,992.887.5372x89333,641455
9862c136-440d-455e-a789-df5e654004f8,Madison,Brown,640-598-3415x79029,857155
7a193547-a6de-4db8-b0b5-21f60fe97883,Brian,Jenkins,774.305.1417x9183,210269
846eeefd-e21e-48c1-9078-01cb3d629e33,Daniel,Silva,(645)317-0119x7687,241999
778b3bed-b523-412b-ab53-867ab4940a31,Manuel,Keller,7859205095,766290
c32bb7fb-6b91-4105-95b1-7e09d57df329,Travis,Trevino,001-675-504-3189x0611,611927
7bdfa5e2-c39e-4fd7-83f5-c614723fe985,Patricia,Gonzalez,777.713.2221,477806
a4dbf51b-ed45-4a91-b49c-071deb2eb2f8,Andrew,Arias,+1-475-653-7337x4196,906338
fc1d33bc-1781-4fed-8790-c1d58772b15e,Angela,Barrett,001-933-755-2591,793397
ad009cde-cec5-4e6a-aa6b-e38d5688de1b,Luke,Newman,710.943.9192x88837,899810
6ce78bfe-aa0f-4577-bcaf-e49a32ff2d71,Jacob,Nelson,5174723803,396071
a845af1d-7ec2-482f-9a5a-67a2f9c50e62,Linda,Rosales,+1-353-245-3125,130411
3f1fc4b0-d3a0-4f2d-82ba-eb0e74c37001,Timothy,Fuller,+1-396-720-8552x1783,184122
962c3522-15b4-4561-9da8-6eaf13dd32c0,Taylor,Johnson,(555)580-5448x29385,881925
c3d685b5-7c05-433d-a934-be1d822044e5,Shane,West,001-689-285-2850,981500
361d966f-536e-45f8-af38-b4dbde2c8054,Susan,Cooper,(791)228-2914,383859
779ace32-bbd9-4b85-9f79-c7a5d66d870b,David,Taylor,001-333-302-4025,885979
36ef092c-22a7-4157-98a9-ae6f0d646ade,Ashley,Hammond,001-215-283-7118,474414
bf32cb5a-71ef-4c19-ac85-361b91bc7dd5,Kevin,Ramos,829.672.5349,921441
b23621a7-2be0-4eec-90a9-1665396a37e5,Logan,Brown,940-596-0056x286,104065
330cabb1-e7bd-49b5-883b-e1a9edfb09af,Jason,Drake,295.532.9107,353818
7a622c2d-05e2-4e4c-977d-d2252dbfcff8,Brandon,Smith,001-652-293-6978x449,266231
aba5f620-54cb-4b44-9a16-3ed6e048847e,Robin,Carter,493.950.4427,155464
bbda694a-7bce-4df3-a7cc-5c42d17ec471,Richard,Mayo,251.523.1363x7624,412371
